canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
"In an office for standard office laboratory tests approved by BCBSM and in connection with medical care. (We do not pay for nonstandard tests performed in a physician’s office). Tests must be provided by the member ’s attending physician or by another physician, if prescribed by the attending physician, or",14,14,2,ppo_medical,Diagnostic Services
By a laboratory when prescribed by a physician,14,14,2,ppo_medical,Diagnostic Services
"By a participating substance abuse facility in connection with treatment of substance use disorder, or",14,14,2,ppo_medical,Diagnostic Services
"By your physician, or",14,14,2,ppo_medical,Diagnostic Services
"By another physician, if your in-network physician refers you to one, or",14,14,2,ppo_medical,Diagnostic Services
Acute renal (kidney) failure,14,14,2,ppo_medical,Dialysis Services
"Chronic, irreversible kidney failure (End Stage Renal Disease (ESRD))",14,14,2,ppo_medical,Dialysis Services
Equipment,14,14,2,ppo_medical,Dialysis Services
Solutions,14,14,2,ppo_medical,Dialysis Services
Routine laboratory tests,14,14,2,ppo_medical,Dialysis Services
Drugs,14,14,2,ppo_medical,Dialysis Services
Supplies,14,14,2,ppo_medical,Dialysis Services
Other medically necessary services related to dialysis treatment,14,14,2,ppo_medical,Dialysis Services
Services provided by a nonparticipating end stage renal disease facility,14,14,2,ppo_medical,Dialysis Services
Services not provided by the employees of the ESRD facility,14,14,2,ppo_medical,Dialysis Services
Services not related to the dialysis process,14,14,2,ppo_medical,Dialysis Services
Home hemodialysis,14,14,2,ppo_medical,Dialysis Services
Placement and maintenance of a dialysis machine in the member’s home,14,14,2,ppo_medical,Dialysis Services
Expenses to train the member and one other person who will assist the member in the home in operating the equipment,14,14,2,ppo_medical,Dialysis Services
Laboratory tests related to the dialysis,14,14,2,ppo_medical,Dialysis Services
"Supplies required during the dialysis, such as dialysis membrane, solution, tubing and drugs",14,14,2,ppo_medical,Dialysis Services
Removal of the equipment after it is no longer needed,14,14,2,ppo_medical,Dialysis Services
"Services provided by persons under contract with the hospital, agencies or organizations assisting in the dialysis or acting as ""backup"" including hospital personnel sent to the member's home",14,14,2,ppo_medical,Dialysis Services
Transfer of the dialyzer to another location in the member’s home,14,14,2,ppo_medical,Dialysis Services
Physician services not paid by the hospital,14,14,2,ppo_medical,Dialysis Services
The use of durable medical equipment while you are in the hospital.,14,14,2,ppo_medical,Durable Medical Equipment
"The rental or purchase of durable medical equipment, if prescribed by a physician or other provider licensed to prescribe it. You may obtain it from",14,14,2,ppo_medical,Durable Medical Equipment
"Exercise and hygienic equipment, such as exercycles, Moore Wheel, bidet toilet seats and bathtub seats",14,14,2,ppo_medical,Durable Medical Equipment
"Deluxe equipment, such as motorized wheelchairs and beds, unless medically necessary and required so that members can operate the equipment themselves",14,14,2,ppo_medical,Durable Medical Equipment
"Comfort and convenience items, such as bed boards, bathtub lifts, overbed tables, adjust-a-beds, telephone arms or air conditioners",14,14,2,ppo_medical,Durable Medical Equipment
"Provider’s equipment, such as stethoscopes",14,14,2,ppo_medical,Durable Medical Equipment
"Self-help devices not primarily medical in nature, such as sauna baths and elevators",14,14,2,ppo_medical,Durable Medical Equipment
Experimental equipment,14,14,2,ppo_medical,Durable Medical Equipment
Emergency Treatment,14,14,1,ppo_medical,
Facility and professional services to examine and treat a medical emergency or accidental injury.,14,14,2,ppo_medical,Emergency Treatment
Enhanced Condition Management Program (ECMP),14,14,1,ppo_medical,
Diabetes Prevention Program,14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
"Select services, equipment, and tools to reduce the risk of a Type 2 diabetes diagnosis",14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
Enhanced Diabetes Management Program,14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
"Select services, equipment, tools to manage Type 2 diabetes",14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
Cardiovascular Management Program,14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
"Select services, equipment, and tools to manage hypertension",14,14,2,ppo_medical,Enhanced Condition Management Program (ECMP)
Fertility Preservation,14,14,1,ppo_medical,
Collection of mature eggs and sperm,14,14,2,ppo_medical,Fertility Preservation
"Cryopreservation of embryos, mature eggs and sperm",14,14,2,ppo_medical,Fertility Preservation
"Storage of embryos, mature eggs and sperm for up to one year",14,14,2,ppo_medical,Fertility Preservation
"Thawing of embryos, mature eggs and sperm within one year of procurement",14,14,2,ppo_medical,Fertility Preservation
Culture of eggs,14,14,2,ppo_medical,Fertility Preservation
Ovarian transposition,14,14,2,ppo_medical,Fertility Preservation
Embryo transfer to member within one year from cryopreservation,14,14,2,ppo_medical,Fertility Preservation
"Storage of sperm, eggs or embryos for longer than one year",14,14,2,ppo_medical,Fertility Preservation
Co-culture of embryo(s),14,14,2,ppo_medical,Fertility Preservation
Post-menopausal members,14,14,2,ppo_medical,Fertility Preservation
"Members who have undergone elective sterilization (vasectomy, tubal sterilization), with or without reversal",14,14,2,ppo_medical,Fertility Preservation
Gender Affirming Services,14,14,1,ppo_medical,
Gender affirming surgery and related services,14,14,2,ppo_medical,Gender Affirming Services
Prescription drugs including hormone therapy (see Prescription Drugs),14,14,2,ppo_medical,Gender Affirming Services
"Gender affirming services that are not medically necessary, considered to be cosmetic, experimental, or investigational by BCBSM.",14,14,2,ppo_medical,Gender Affirming Services
Home Health Care Services,14,14,1,ppo_medical,
Skilled nursing care provided or supervised by a registered nurse employed by the home health care agency,14,14,2,ppo_medical,Home Health Care Services
"Social services by a licensed social worker, if requested by the member's attending physician",14,14,2,ppo_medical,Home Health Care Services
The following when provided for rehabilitation,14,14,2,ppo_medical,Home Health Care Services
"Part-time health aide services, including preparing meals, laundering, bathing and feeding if",14,14,2,ppo_medical,Home Health Care Services
"Lab services, prescription drugs, biologicals and solutions related to the condition for which the member is participating in the program",14,14,2,ppo_medical,Home Health Care Services
"Medical and surgical supplies such as catheters, colostomy supplies, hypodermic needles and oxygen needed to effectively administer the medical treatment plan ordered by the physician",14,14,2,ppo_medical,Home Health Care Services
General housekeeping services,14,14,2,ppo_medical,Home Health Care Services
Transportation to and from a hospital or other facility,14,14,2,ppo_medical,Home Health Care Services
"Elastic stockings, sheepskin or comfort items (lotion, mouthwash, body powder, etc.)",14,14,2,ppo_medical,Home Health Care Services
Durable medical equipment (when billed by the home health care agency unless the agency is an approved DME provider),14,14,2,ppo_medical,Home Health Care Services
Physician services (when billed by the home health care agency),14,14,2,ppo_medical,Home Health Care Services
Custodial or nonskilled care,14,14,2,ppo_medical,Home Health Care Services
Services performed by a nonparticipating home health care provider,14,14,2,ppo_medical,Home Health Care Services
Hospice Care Services,14,14,1,ppo_medical,
Up to eight hours of routine home care per day,14,14,2,ppo_medical,Hospice Care Services
Continuous home care for up to 24 hours per day during periods of crisis,14,14,2,ppo_medical,Hospice Care Services
Home health aide services provided by qualified aides. These services must be rendered under the general supervision of a registered nurse.,14,14,2,ppo_medical,Hospice Care Services
Inpatient care provided by,14,14,2,ppo_medical,Hospice Care Services
Five days of occasional respite care during a 30-day period,14,14,2,ppo_medical,Hospice Care Services
Physician services by a member of the hospice interdisciplinary team,14,14,2,ppo_medical,Hospice Care Services
"Nursing care provided by, or under the supervision of, a registered nurse",14,14,2,ppo_medical,Hospice Care Services
"Medical social services by a licensed social worker, provided under the direction of a physician",14,14,2,ppo_medical,Hospice Care Services
"Counseling services to the member and to caregivers, when care is provided at home",14,14,2,ppo_medical,Hospice Care Services
BCBSM-approved medical appliances and supplies (these include drugs and biologicals to provide comfort to the member),14,14,2,ppo_medical,Hospice Care Services
BCBSM-approved durable medical equipment furnished by the hospice program for use in a member’s home,14,14,2,ppo_medical,Hospice Care Services
Bereavement counseling for the family after the member’s death,14,14,2,ppo_medical,Hospice Care Services
Provided by the attending physician to make the member comfortable and to manage the terminal illness and related conditions,14,14,2,ppo_medical,Hospice Care Services
"Of a hospice program other than the one designated by the member. (If the designated program arranges for the member to receive the services of another hospice program, the services are covered.)",14,14,2,ppo_medical,Hospice Care Services
That are not part of the plan of care established by the hospice program for the member.,14,14,2,ppo_medical,Hospice Care Services
Hospital Services,14,14,1,ppo_medical,
Inpatient Hospital Services,14,14,2,ppo_medical,Hospital Services
Outpatient Hospital Services,14,14,2,ppo_medical,Hospital Services
Temporary Benefits for Hospital Services,14,14,2,ppo_medical,Hospital Services
Medically necessary diagnostic services,14,14,2,ppo_medical,Infertility Treatment
Counseling services,14,14,2,ppo_medical,Infertility Treatment
Planning services,14,14,2,ppo_medical,Infertility Treatment
Sperm washing,14,14,2,ppo_medical,Infertility Treatment
Post-coital test,14,14,2,ppo_medical,Infertility Treatment
Monitoring of ovarian response to ovulatory stimulants,14,14,2,ppo_medical,Infertility Treatment
Ovarian wedge resection or ovarian drilling,14,14,2,ppo_medical,Infertility Treatment
Reconstructive surgery of one or both fallopian tubes to open the blockage that causes infertility,14,14,2,ppo_medical,Infertility Treatment
Diagnostic studies done for the sole purpose of infertility assessment,14,14,2,ppo_medical,Infertility Treatment
Any procedure done to enhance reproductive capacity or fertility,14,14,2,ppo_medical,Infertility Treatment
Infusion Therapy,14,14,1,ppo_medical,
Nursing services needed to administer infusion therapy and treat infusion therapy-related wound care,14,14,2,ppo_medical,Infusion Therapy
"Durable medical equipment, medical supplies and solutions needed for infusion therapy",14,14,2,ppo_medical,Infusion Therapy
Long-Term Acute Care Hospital Services,14,14,1,ppo_medical,
"Services in a nonparticipating LTACH, including emergency services, unless BCBSM determines there are extenuating circumstances",14,14,2,ppo_medical,Long-Term Acute Care Hospital Services
Inpatient admissions that BCBSM has not preapproved,14,14,2,ppo_medical,Long-Term Acute Care Hospital Services
LTACH services if the member ’s primary diagnosis is a mental health or substance use disorder condition,14,14,2,ppo_medical,Long-Term Acute Care Hospital Services
"Lamaze, parenting or other similar classes.",14,14,2,ppo_medical,Maternity Care
Services provided to the newborn if one of the following apply,14,14,2,ppo_medical,Maternity Care
Medical Supplies,14,14,1,ppo_medical,
"Gauze, cotton, fabrics, plaster and other materials used in dressings and casts",14,14,2,ppo_medical,Medical Supplies
Catheterization equipment and urinary sets,14,14,2,ppo_medical,Medical Supplies
Newborn examination,14,14,2,ppo_medical,Newborn Care
Routine care,14,14,2,ppo_medical,Newborn Care
Parenting or other similar classes,14,14,2,ppo_medical,Newborn Care
Therapy billed as a habilitative service when it does not meet the definition of habilitative in this certificate,14,14,2,ppo_medical,Occupational Therapy
Therapy that is performed without an occupational therapy treatment plan,14,14,2,ppo_medical,Occupational Therapy
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without an occupational therapy treatment plan that guides and helps to monitor the provided therapy",14,14,2,ppo_medical,Occupational Therapy
The diagnosis of a condition,14,14,2,ppo_medical,"Office, Outpatient and Home Medical Care Visits"
Treatment and consultation recommendations,14,14,2,ppo_medical,"Office, Outpatient and Home Medical Care Visits"
Bone marrow,14,14,2,ppo_medical,Oncology Clinical Trials
Peripheral blood stem cell (including peripheral blood stem cell pheresis),14,14,2,ppo_medical,Oncology Clinical Trials
